keyword,sentence
결정,콩자 선생님은 턱을 쓰다듬으며 조금 생각하더니 결정을 내렸어.
결정,이번에도 실패하면 안 되니까 신중하게 결정해야 한다는 생각이 강했거든.
계획,바로 은중이 학습 계획표 짜는 일 이었어.
계획,우리한테 다 계획이 있어.
규칙,그 뒤로 콩자반은 쉬는 시간만큼은 교실 바닥에 앉아서만 노는 규칙이 생겼어.
규칙,하지만 그런 규칙이 잘 지 켜지는 건 아니었어.
내용,일기에 그 내용을 적다 말고 다시 한번 영상을 돌려 봤어.
비교,패션 센스가 뛰어난 수아랑 비교해 보니 더 마음에 안 들었어.
성격,평소에도 찬우는 분노를 참지 못하고 막 덤벼드는 성격이거든.
성격,누구든 눈에 거슬리는 행동을 하면 그냥 두고 보지 않는 성격이지.
성격,유찬이는 불만이 있어도 겉으로 잘 표현하지 않는 성격이야.
성격,"성격 좋고 내 말 잘 들어주는 친구, 나보다는 덜 예쁜 친구를 만나게 해 주세요."
성격,성격 좋고 싹싹한 수림이보다는 눈에 덜 띄는 아이를 만났거든.
성격,워낙 소심한 성격이라 상처받을지도 모르니까.
소개,누에에 대해서 잘 모르는 시청자를 위해 소개 좀 해 주실까요?
소개,새 학기 1교시는 자기소개 시간이었어.
이상,잠에서 깨어난 누에는 더 이상 뽕잎을 먹지 않았어.
이상,하민이는 더 이상 참지 못하겠다는 듯 돌아서서 눈에 힘을 딱 주고 말했어.
이상,그래서 더 이상 참지 못하고 말했어.
이상,한나는 더 이상 말을 잇지 못했어.
주변,주변에 있던 애들이 연거푸 재채기를 했어.
중심,반장을 중심으로 싸우지 말고 힘을 모아서 사이좋게 지내보자.
감각,지켜보니 미서는 밝고 씩씩하면서도 유머 감각도 있었어.
강력,하민이가 강력하게 말리자 다른 아이들도 나서서 한나를 응원하더니
강조,아빠는 평소 공부를 잘하기 위해서는 무엇보다 체력이 튼튼해야 한다는 말을 강조했거든.
검색,은중이는 틈나는 대로 인터넷에서 누에를 검색했어.
검색,한나는 컴퓨터를 켜고 이것저것 검색해 봤어.
검색,검색어를 넣고 치자 오래전 기사가 쭈르르 떴어.
고정,아이들이 다 꽤 자 선생님이 줄의 양 끝을 묶어 고정시켰어.
과정,누에를 키우는 법부터 누에가 자라는 과정까지 자세히 적혀 있었어.
관련,아무래도 어제 일하고 관련 있는 것 같았어.
관리,관리소 소장님이 기자들에 둘러싸여서 인터뷰를 하고 있었어.
관리,관리소 소장님은 궁색하게 변명했어.
관리,경비 아저씨가 그런 일을 당한 건 관리소 소장님의 책임도 있을 텐데 이렇게 나 몰라라 하다니.
관리,애들과 체험학습을 갔는데 놀이공원 관리하는 분이 다짜고짜 막 반말을 하더라.
관리,땅콩은 당당하게 관리인에게 다가가서 감사의 말씀을 전했지.
관찰,거기 가면 누에 말고 다른 곤충들도 얼마든지 관찰할 수 있고 실험도 할 수 있으니까.
기호,"복잡한 화학 기호를 떠올리자, 머리가 지끈거렸어."
무시,얘가 날 무시하는 건가? 수림이는 기분이 나빠졌어.
분리,재활용 분리수거장 쪽으로 걸어가는데 두런두런 말소리가 났어.
분리,한나는 직접 나설 수 없는 처지라 재활용 분리수거장에 숨어서 지켜보았어.
삭제,"당장 삭제해! 누가 듣는 것도 아닌데, 엄마는 목소리를 잔뜩 낮추고 야단이었어."
성질,성질 급한 한나가 당장 뽑자고 설레발을 쳤어.
소용,애들이 말려도 소용없었어.
소용,그래 봤자 소용없다는 걸 아니까.
소용,하지만 소용없었어.
수거,재활용 분리수거장 쪽으로 걸어가는데 두런두런 말소리가 났어.
수거,한나는 직접 나설 수 없는 처지라 재활용 분리수거장에 숨어서 지켜보았어.
실험,거기 가면 누에 말고 다른 곤충들도 얼마든지 관찰할 수 있고 실험도 할 수 있으니까.
실험,정말로 이 돌이 소원을 들어주는지 실험을 해 보고 싶었어.
예상,"돌아다니다 보면 뛰게 되고, 그러면 예상치 못한 사고가 일어나기 때문이지."
예상,예상대로 아이들이 재미있다는 반응을 보였어.
완벽,완벽한 친구 유찬이 다음으로 나온 건 수림이야.
완벽,어디 내 마음에 드는 완벽한 친구 없을까?
완전,최근에 ‘베틀 쿡’하고 ‘상어 잡기’를 출시했는데 완전 대박이 났어.
요구,"그런데 말이야, 아빠의 요구는 매일 계속됐어."
